date_time,temp_f,feels_like_f,description,humidity
2026-04-24 00:00:00,56.77,55.24,overcast clouds,66
2026-04-24 03:00:00,55.71,54.18,overcast clouds,68
2026-04-24 06:00:00,53.11,51.75,broken clouds,77
2026-04-24 09:00:00,47.1,45.43,clear sky,90
2026-04-24 12:00:00,44.17,41.95,clear sky,91
2026-04-24 15:00:00,47.98,45.7,clear sky,76
2026-04-24 18:00:00,60.15,57.65,clear sky,38
2026-04-24 21:00:00,63.77,61.07,scattered clouds,26
2026-04-25 00:00:00,62.49,59.7,broken clouds,27
2026-04-25 03:00:00,53.1,50.27,few clouds,46
2026-04-25 06:00:00,48.9,48.9,scattered clouds,56
2026-04-25 09:00:00,45.64,45.64,overcast clouds,63
2026-04-25 12:00:00,42.93,42.93,scattered clouds,71
2026-04-25 15:00:00,49.21,49.21,scattered clouds,57
2026-04-25 18:00:00,62.62,60.22,few clouds,35
2026-04-25 21:00:00,67.64,65.46,clear sky,29
2026-04-26 00:00:00,65.43,63.27,clear sky,34
2026-04-26 03:00:00,56.16,53.96,clear sky,53
2026-04-26 06:00:00,50.22,48.04,clear sky,66
2026-04-26 09:00:00,46.99,46.99,clear sky,75
2026-04-26 12:00:00,45.37,45.37,scattered clouds,83
2026-04-26 15:00:00,50.77,48.94,clear sky,72
2026-04-26 18:00:00,63.39,61.59,clear sky,46
2026-04-26 21:00:00,69.3,67.62,clear sky,36
2026-04-27 00:00:00,66,64.33,light rain,43
2026-04-27 03:00:00,56.03,54.66,light rain,71
2026-04-27 06:00:00,49.77,46.92,light rain,88
2026-04-27 09:00:00,47.26,43.77,few clouds,91
2026-04-27 12:00:00,48.78,45.39,broken clouds,81
2026-04-27 15:00:00,49.21,45.9,overcast clouds,79
2026-04-27 18:00:00,52.11,50.25,overcast clouds,69
2026-04-27 21:00:00,53.56,51.82,overcast clouds,68
2026-04-28 00:00:00,53.24,51.69,overcast clouds,73
2026-04-28 03:00:00,51.93,50.29,light rain,74
2026-04-28 06:00:00,47.84,44.1,overcast clouds,74
2026-04-28 09:00:00,47.26,43.66,overcast clouds,74
2026-04-28 12:00:00,47.32,44.91,overcast clouds,75
2026-04-28 15:00:00,48.07,45.88,overcast clouds,75
2026-04-28 18:00:00,52.68,50.56,overcast clouds,62
2026-04-28 21:00:00,57.9,55.8,overcast clouds,51
