title,ready_in_minutes,prep_minutes,cook_minutes,servings,health_score,calories,carbs_g,fiber_g,sugar_g,protein_g,fat_g,ingredient_count,ingredients
Ancient Grains Bread,45,,,14,74.0,284.82,53.89,7.09,9.91,12.73,2.99,0,
Spinach Coriander Chive Bread,45,,,4,44.0,452.72,62.19,4.78,15.62,18.3,15.4,0,
Pan Roasted Raspberries Bread,45,,,9,29.0,229.28,43.64,5.71,12.38,5.74,4.91,0,
How to Make Homemade Bread,570,10,50,3,22.0,556.86,99.4,4.16,0.46,13.98,10.73,0,
Whole Wheat Focaccia Bread with Caramelized Onion,45,,,10,13.0,274.62,40.46,6.24,2.64,8.63,10.48,0,
Black Olive & Tomato Bread,220,,,16,11.0,166.64,25.53,2.0,2.97,4.24,5.6,0,
Rosemary Walnut Bread,45,,,16,11.0,308.32,36.21,2.51,4.07,8.87,14.87,0,
Cheddar Chile Beer Bread,45,,,12,10.0,203.51,25.16,2.35,0.19,8.35,7.26,0,
Almond Buns,45,,,12,10.0,601.48,57.64,4.91,20.56,13.81,37.16,0,
Armenian tahini rolls,45,,,12,10.0,235.59,20.5,2.09,13.61,6.37,15.96,0,
Fenugreek Roti,45,,,10,9.0,79.58,12.53,2.28,1.54,4.19,1.55,0,
Banana Nut Chocolate Bread,45,,,6,8.0,777.62,79.25,3.85,39.93,8.29,49.79,0,
Pumpkin Corn Bread,45,,,6,7.0,339.59,51.99,3.62,19.55,6.43,12.22,0,
Ridiculously Easy Naan,45,,,8,7.0,124.83,22.8,3.21,1.22,4.71,2.48,0,
Autumn Beer Bread,45,,,8,6.0,200.31,37.59,1.53,9.95,4.05,2.8,0,
Garlic-Butter Naan,45,,,4,6.0,461.89,56.13,2.02,2.08,9.92,21.67,0,
Lemon Bread,45,,,8,5.0,566.63,69.02,2.0,37.85,8.8,29.42,0,
Simply Amazing Cinnamon Swirl Wheat Bread,45,,,8,5.0,329.96,49.5,4.33,17.84,6.7,13.05,0,
Sweet Potato Green Tea Pancake Roll,45,,,6,5.0,138.34,25.75,2.02,8.7,4.15,2.04,0,
Honey Wheat Hamburger Buns,45,,,8,5.0,386.56,66.45,3.04,21.39,10.13,9.72,0,
Lemon Chia Seed Cornmeal Bread,45,,,8,4.0,284.41,48.1,4.03,20.35,4.43,9.12,0,
One Bowl Jalapeno Cheddar Cornbread,45,,,6,4.0,527.17,60.93,3.61,25.23,12.64,26.49,0,
Almost Whole Wheat Bread,45,,,4,4.0,319.01,44.35,3.99,7.13,7.68,13.36,0,
Grapefruit Poppy Seed Bread,90,,,8,4.0,315.9,53.1,3.09,28.43,7.29,9.25,0,
Potato and Scallion Bread Rolls,45,,,8,4.0,219.73,32.97,2.71,3.24,6.81,7.13,0,
Whole Wheat Dinner Rolls,45,,,19,4.0,155.87,29.89,2.85,4.18,5.04,2.41,0,
Cranberry Nut Bread,45,,,8,3.0,313.44,54.8,2.3,28.08,4.81,9.09,0,
St-Nicholas’ Mannele brioches,45,,,12,3.0,280.06,45.75,1.37,7.65,7.54,7.16,0,
